Treatment_type,Napthlene,2-Methylnapthlene,1-Methylnapthlene,"1,6-Dimethylnapthlene",Acenaphthylene,Acenaphthene,"2,3,5-Trimethylnapthalene",Fluorene,Dibenzothiophene,Phenanthrene,Anthracene,2-Methyldibenzothiophene,2-Methylphenanthrene,"2,8-Dimethyldibenzothiophene","2,4-Dimethylphenanthrene","2,4,7-Trimethyldibenzothiophene",Fluoranthene,Pyrene,"1,2,6-Trimethylphenanthrene","1,2,8-Trimethylphenanthrene",Benzo[e]phenanthrene,Benz[a]anthracene,Triphenylene,Chrysene,1-Methylchrysene,6-Ethylchrysene,Benzo[b]fluoranthene,Benzo[k]fluoranthene,Benzo[j]fluoranthene,Benzo[e]pyrene,Benzo[a]pyrene,Perylene,"Indeno[1,2,3-c,d]pyrene","Dibenz[a,h]anthracene","Benzo[g,h,i]perylene"
 Raw Diesel,100223.67,517734.18,339085.99,564120.47,27067.51,45755.54,256056.04,67413.49,2967.91,41342.71,0.00,0.00,64606.33,0.00,49608.00,0.00,5570.72,12600.00,8787.73,5799.59,0.00,0.00,5259.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Raw Diesel ,96362.16,491427.10,317472.57,518996.44,27324.41,43967.32,231468.67,64782.48,2913.88,38504.00,0.00,0.00,62962.24,0.00,43475.34,0.00,5714.96,12726.59,8774.22,5815.71,0.00,0.00,5281.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UV weathered,88264.83,420602.38,274641.81,444663.69,25065.26,26863.49,179939.41,47052.49,2956.64,31458.28,0.00,0.00,51321.22,0.00,28462.49,0.00,5066.83,4004.69,7385.00,5498.10,0.00,0.00,5287.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
UV weathered  ,98469.18,467413.85,297711.10,440149.74,25250.90,31104.27,209827.56,52103.82,2816.75,32102.00,0.00,0.00,55345.17,0.00,31468.00,0.00,5080.89,4039.26,7594.95,5535.93,0.00,0.00,5262.43,0,0,0,0,0,0,0,0,0,0,0,0
CTRL ,56941.14,367713.05,248046.41,317609.06,19729.42,21787.22,181767.10,30082.54,0.00,19056.76,0.00,0.00,38113.87,0.00,18829.67,0.00,2710.12,2810.01,5425.20,4129.59,0.00,0.00,3246.15,3991.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CTRL ,51863.37,335872.58,227726.86,278559.46,18663.36,20484.65,166448.07,26963.83,1466.46,17184.44,0.00,0.00,32769.70,0.00,16278.86,0.00,2949.91,2899.29,5072.90,4031.41,3292.31,4819.62,3335.30,4068.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ND ,51003.19,354517.22,237687.18,309898.54,18785.05,20906.39,178527.06,29155.63,1175.78,19327.22,0.00,0.00,33638.65,0.00,17140.52,0.00,2681.37,2764.02,5093.90,3952.09,0.00,0.00,3241.27,3998.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ND,53306.00,368145.48,251179.68,319506.45,20331.57,21930.99,190425.90,30799.73,0.00,21031.89,0.00,0.00,35923.06,0.00,17823.43,0.00,2693.94,2779.23,5134.24,3940.27,0.00,0.00,3234.61,3986.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ND,45777.30,311621.97,204034.14,264498.64,17332.38,18800.59,125444.64,26332.64,0.00,18651.57,0.00,0.00,31416.40,0.00,14903.36,0.00,1846.76,1863.78,3795.33,2734.93,0.00,0.00,2170.44,2658.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
