"Compound","Comparison","mean_loss","sd_loss","n","se_loss"
"1.2.6.Trimethylphenanthrene","Raw to UV",14.7022397854452,1.69066725175867,2,1.19548227844858
"1.2.6.Trimethylphenanthrene","UV to Control",29.918991718931,3.32596195597476,2,2.35181025303823
"1.2.6.Trimethylphenanthrene","UV to Nutri+Disp",37.590045360632,10.1688191803106,3,5.87097049109293
"1.2.8.Trimethylphenanthrene","Raw to UV",5.00434771379128,0.460596790996135,2,0.32569111430613
"1.2.8.Trimethylphenanthrene","UV to Control",26.0379027426969,1.25835698791639,2,0.889792759309158
"1.2.8.Trimethylphenanthrene","UV to Nutri+Disp",35.7908216671515,12.6760664267273,3,7.31853036373658
"1.6.Dimethylnapthlene","Raw to UV",18.308594221837,0.589381372494133,2,0.416755565195636
"1.6.Dimethylnapthlene","UV to Control",32.6221212532906,6.24136931615565,2,4.41331456734331
"1.6.Dimethylnapthlene","UV to Nutri+Disp",32.6484281174017,6.64108626039401,3,3.83423294015001
"1.Methylnapthlene","Raw to UV",12.8253068545782,4.96907736490679,2,3.51366830096617
"1.Methylnapthlene","UV to Control",16.874141515241,5.02071059467807,2,3.55017850787201
"1.Methylnapthlene","UV to Nutri+Disp",19.2921024897034,8.48447522334378,3,4.89851405413024
"2.3.5.Trimethylnapthalene","Raw to UV",20.0518533716988,8.66996609961399,2,6.13059182169453
"2.3.5.Trimethylnapthalene","UV to Control",10.6606775838394,5.55829037755568,2,3.93030481777355
"2.3.5.Trimethylnapthalene","UV to Nutri+Disp",15.4370623041763,17.7528755141625,3,10.2496274569916
"2.4.Dimethylphenanthrene","Raw to UV",35.6163089979367,4.56626610502799,2,3.22883772756757
"2.4.Dimethylphenanthrene","UV to Control",41.4179159890066,6.01929017606382,2,4.2562809014243
"2.4.Dimethylphenanthrene","UV to Nutri+Disp",44.5276130174585,5.09730315252537,3,2.94292934725165
"2.Methylnapthlene","Raw to UV",12.0045281562923,6.56004318245556,2,4.6386510191909
"2.Methylnapthlene","UV to Control",20.7688321192057,5.07076593705203,2,3.58557297989925
"2.Methylnapthlene","UV to Nutri+Disp",22.3524199176705,6.64347498514642,3,3.83561207102883
"2.Methylphenanthrene","Raw to UV",16.3850547199831,4.46091436496561,2,3.15434279775966
"2.Methylphenanthrene","UV to Control",33.5464807611845,7.08545371567129,2,5.01017237013459
"2.Methylphenanthrene","UV to Nutri+Disp",36.8885175545924,4.22513867056334,3,2.43938494881324
"Acenaphthene","Raw to UV",35.3924295324514,6.68432614725007,2,4.72653234638307
"Acenaphthene","UV to Control",27.0769303488698,3.17782187881733,2,2.24705939991471
"Acenaphthene","UV to Nutri+Disp",29.1123548676023,5.50656443336243,3,3.17921645791182
"Acenaphthylene","Raw to UV",7.49331886059547,0.482672069158334,2,0.3413006931912
"Acenaphthylene","UV to Control",23.6969196377466,2.99632664794662,2,2.11872289141301
"Acenaphthylene","UV to Nutri+Disp",25.2075940082338,5.96166204991234,3,3.44196718933446
"Dibenzothiophene","Raw to UV",1.84297637283888,3.36350558657096,2,2.37835760882316
"Dibenzothiophene","UV to Control",74.5996719431738,35.9214884266895,2,25.4003280568262
"Dibenzothiophene","UV to Nutri+Disp",86.4229970029162,23.516059005464,3,13.5770029970837
"Fluoranthene","Raw to UV",10.0832205059863,0.17618648310927,2,0.124582656959974
"Fluoranthene","UV to Control",44.2236285589275,3.34177795723024,2,2.36299385477723
"Fluoranthene","UV to Nutri+Disp",52.553742778345,9.5692753571651,3,5.52482370340893
"Fluorene","Raw to UV",24.9929404050668,5.40384052102503,2,3.82109227686744
"Fluorene","UV to Control",42.468240296558,4.44804972987457,2,3.1452461270493
"Fluorene","UV to Nutri+Disp",41.9852016141652,4.55709284462982,3,2.63103878056915
"Napthlene","Raw to UV",5.01145987989064,7.34088014644895,2,5.19078613143175
"Napthlene","UV to Control",41.7328905430778,3.84560434417449,2,2.71925290952623
"Napthlene","UV to Nutri+Disp",46.4170131621979,4.13183084197957,3,2.3855136488629
"Phenanthrene","Raw to UV",20.3971209333484,1.14013157758261,2,0.806194769953578
"Phenanthrene","UV to Control",42.9813713847705,4.16590414186721,2,2.94573906848743
"Phenanthrene","UV to Nutri+Disp",38.1052862993471,3.85986562599577,3,2.22849445820444
"Pyrene","Raw to UV",68.239111542454,0.193035710102456,2,0.136496859624607
"Pyrene","UV to Control",29.0236761789917,1.56963913063445,2,1.10990247328737
"Pyrene","UV to Nutri+Disp",38.6120003232243,13.0333909100785,3,7.52483175038747
"Triphenylene","Raw to UV",-0.0802578877565931,0.330309001459303,2,0.23356373481883
"Triphenylene","UV to Control",37.6135127039437,1.19510287791969,2,0.84506534919257
"Triphenylene","UV to Nutri+Disp",45.3602136471813,11.6845647051968,3,6.74608657790899
